school_name,school_abbrev
Louisville,louisville
Arizona,arizona
Florida,florida
Kansas,kansas
Wisconsin,wisconsin
Duke,duke
Michigan State,michigan-state
Oklahoma State,oklahoma-state
Villanova,villanova
Iowa,iowa
Iowa State,iowa-state
Michigan,michigan
UCLA,ucla
Virginia,virginia
Kentucky,kentucky
Creighton,creighton
Ohio State,ohio-state
Pittsburgh,pittsburgh
Tennessee,tennessee
Connecticut,connecticut
Wichita State,wichita-state
Syracuse,syracuse
Baylor,baylor
Oregon,oregon
Gonzaga,gonzaga
Cincinnati,cincinnati
North Carolina,north-carolina
San Diego State,san-diego-state
Oklahoma,oklahoma
Virginia Commonwealth,virginia-commonwealth
Arkansas,arkansas
Southern Methodist,southern-methodist
Stanford,stanford
Arizona State,arizona-state
Memphis,memphis
New Mexico,new-mexico
Texas,texas
Utah,utah
Florida State,florida-state
Louisiana Tech,louisiana-tech
Kansas State,kansas-state
Xavier,xavier
West Virginia,west-virginia
Minnesota,minnesota
St. John's (NY),st-johns-ny
Brigham Young,brigham-young
Saint Louis,saint-louis
Providence,providence
Maryland,maryland
Indiana,indiana
Clemson,clemson
Georgetown,georgetown
Colorado,colorado
Harvard,harvard
University of California,california
Massachusetts,massachusetts
George Washington,george-washington
Dayton,dayton
Illinois,illinois
Nebraska,nebraska
Marquette,marquette
Missouri,missouri
Louisiana State,louisiana-state
Saint Mary's (CA),saint-marys-ca
Saint Joseph's,saint-josephs
North Carolina State,north-carolina-state
Boise State,boise-state
Texas Tech,texas-tech
Nevada-Las Vegas,nevada-las-vegas
Alabama,alabama
Purdue,purdue
Notre Dame,notre-dame
Georgia,georgia
Mississippi,mississippi
Penn State,penn-state
Miami (FL),miami-fl
Seton Hall,seton-hall
Green Bay,green-bay
Butler,butler
Southern Mississippi,southern-mississippi
North Dakota State,north-dakota-state
Washington,washington
Tulsa,tulsa
New Mexico State,new-mexico-state
Georgia State,georgia-state
Manhattan,manhattan
Oregon State,oregon-state
Iona,iona
San Francisco,san-francisco
St. Bonaventure,st-bonaventure
Richmond,richmond
Vanderbilt,vanderbilt
Texas A&M,texas-am
Wake Forest,wake-forest
South Carolina,south-carolina
Mercer,mercer
Northern Iowa,northern-iowa
Georgia Tech,georgia-tech
Auburn,auburn
Stephen F. Austin,stephen-f-austin
Middle Tennessee,middle-tennessee
Portland,portland
