school_name,school_abbrev
North Carolina,north-carolina
Illinois,illinois
Duke,duke
Louisville,louisville
Oklahoma State,oklahoma-state
Kansas,kansas
Michigan State,michigan-state
Wake Forest,wake-forest
Florida,florida
Oklahoma,oklahoma
Washington,washington
Kentucky,kentucky
Villanova,villanova
Connecticut,connecticut
Arizona,arizona
Cincinnati,cincinnati
Georgia Tech,georgia-tech
Wisconsin,wisconsin
Alabama,alabama
Texas Tech,texas-tech
North Carolina State,north-carolina-state
Syracuse,syracuse
Texas,texas
Iowa,iowa
Pittsburgh,pittsburgh
Boston College,boston-college
Utah,utah
Maryland,maryland
Vanderbilt,vanderbilt
Gonzaga,gonzaga
Texas A&M,texas-am
Ohio State,ohio-state
Utah State,utah-state
Mississippi State,mississippi-state
Arkansas,arkansas
Minnesota,minnesota
South Carolina,south-carolina
West Virginia,west-virginia
Louisiana State,louisiana-state
Southern Illinois,southern-illinois
Iowa State,iowa-state
Memphis,memphis
Clemson,clemson
New Mexico,new-mexico
George Washington,george-washington
Alabama-Birmingham,alabama-birmingham
Milwaukee,milwaukee
Indiana,indiana
Creighton,creighton
Northern Iowa,northern-iowa
Providence,providence
Kansas State,kansas-state
Missouri State,missouri-state
Georgetown,georgetown
Charlotte,charlotte
Texas-El Paso,texas-el-paso
Wichita State,wichita-state
Miami (FL),miami-fl
Nebraska,nebraska
Notre Dame,notre-dame
Nevada,nevada
Arizona State,arizona-state
UCLA,ucla
Stanford,stanford
DePaul,depaul
Pacific,pacific
Air Force,air-force
Tennessee,tennessee
Vermont,vermont
Saint Joseph's,saint-josephs
Miami (OH),miami-oh
Virginia,virginia
Missouri,missouri
Western Michigan,western-michigan
Akron,akron
Xavier,xavier
Florida State,florida-state
Saint Mary's (CA),saint-marys-ca
Temple,temple
Marquette,marquette
Oregon,oregon
Washington State,washington-state
Rice,rice
Nevada-Las Vegas,nevada-las-vegas
Old Dominion,old-dominion
Buffalo,buffalo
Purdue,purdue
Holy Cross,holy-cross
Louisiana-Lafayette,louisiana-lafayette
Virginia Tech,virginia-tech
Kent State,kent-state
Mississippi,mississippi
Texas Christian,texas-christian
Ohio,ohio
Oral Roberts,oral-roberts
Seton Hall,seton-hall
Western Kentucky,western-kentucky
St. John's (NY),st-johns-ny
Colorado,colorado
Toledo,toledo
Michigan,michigan
