school_name,school_abbrev
Duke,duke
Cincinnati,cincinnati
Kansas,kansas
Maryland,maryland
Florida,florida
Oklahoma,oklahoma
Oregon,oregon
Illinois,illinois
Indiana,indiana
Kentucky,kentucky
Marquette,marquette
Stanford,stanford
Alabama,alabama
Arizona,arizona
Southern California,southern-california
South Carolina,south-carolina
Ohio State,ohio-state
Connecticut,connecticut
North Carolina State,north-carolina-state
Notre Dame,notre-dame
Memphis,memphis
Wake Forest,wake-forest
Michigan State,michigan-state
Texas Tech,texas-tech
Pittsburgh,pittsburgh
Georgia,georgia
Mississippi State,mississippi-state
Oklahoma State,oklahoma-state
Texas,texas
Missouri,missouri
Gonzaga,gonzaga
Xavier,xavier
Kent State,kent-state
Charlotte,charlotte
Mississippi,mississippi
Virginia,virginia
Georgetown,georgetown
UCLA,ucla
University of California,california
Miami (FL),miami-fl
Minnesota,minnesota
Dayton,dayton
Tulsa,tulsa
Iowa,iowa
Arkansas,arkansas
Louisville,louisville
Syracuse,syracuse
Tennessee,tennessee
Butler,butler
Villanova,villanova
Utah,utah
Temple,temple
Western Kentucky,western-kentucky
Louisiana State,louisiana-state
Wisconsin,wisconsin
Hawaii,hawaii
Arizona State,arizona-state
Southern Illinois,southern-illinois
Valparaiso,valparaiso
Brigham Young,brigham-young
Boston College,boston-college
Ball State,ball-state
Wyoming,wyoming
Pepperdine,pepperdine
Georgia Tech,georgia-tech
Creighton,creighton
Purdue,purdue
Pennsylvania,pennsylvania
South Florida,south-florida
St. John's (NY),st-johns-ny
Nevada-Las Vegas,nevada-las-vegas
San Diego State,san-diego-state
Bowling Green State,bowling-green-state
Louisiana Tech,louisiana-tech
Saint Joseph's,saint-josephs
Auburn,auburn
Saint Louis,saint-louis
Fresno State,fresno-state
Vanderbilt,vanderbilt
New Mexico,new-mexico
Baylor,baylor
Providence,providence
Colorado,colorado
North Carolina-Wilmington,north-carolina-wilmington
St. Bonaventure,st-bonaventure
Seton Hall,seton-hall
Utah State,utah-state
Northwestern,northwestern
Alabama-Birmingham,alabama-birmingham
UC-Santa Barbara,california-santa-barbara
Richmond,richmond
College of Charleston,college-of-charleston
Rutgers,rutgers
Tennessee Tech,tennessee-tech
San Diego,san-diego
Houston,houston
Texas Christian,texas-christian
Nebraska,nebraska
Washington,washington
Florida State,florida-state
Milwaukee,milwaukee
Southern Methodist,southern-methodist
Oregon State,oregon-state
Iowa State,iowa-state
North Carolina,north-carolina
Kansas State,kansas-state
New Mexico State,new-mexico-state
Clemson,clemson
Michigan,michigan
UC-Irvine,california-irvine
Tulane,tulane
East Tennessee State,east-tennessee-state
Colorado State,colorado-state
Oral Roberts,oral-roberts
Ohio,ohio
Pacific,pacific
Massachusetts,massachusetts
Nevada,nevada
Arkansas-Little Rock,arkansas-little-rock
Manhattan,manhattan
Missouri State,missouri-state
Virginia Tech,virginia-tech
Detroit Mercy,detroit-mercy
Louisiana-Lafayette,louisiana-lafayette
Arkansas State,arkansas-state
Marist,marist
Illinois-Chicago,illinois-chicago
North Carolina-Greensboro,north-carolina-greensboro
Chattanooga,chattanooga
Miami (OH),miami-oh
Virginia Commonwealth,virginia-commonwealth
Wright State,wright-state
Montana State,montana-state
George Mason,george-mason
Wichita State,wichita-state
La Salle,la-salle
Georgia Southern,georgia-southern
Illinois State,illinois-state
Western Michigan,western-michigan
Murray State,murray-state
Davidson,davidson
DePaul,depaul
Oakland,oakland
Loyola (IL),loyola-il
Weber State,weber-state
