school_name,school_abbrev
Duke,duke
Connecticut,connecticut
Oklahoma State,oklahoma-state
Georgia Tech,georgia-tech
Saint Joseph's,saint-josephs
North Carolina,north-carolina
Wisconsin,wisconsin
Gonzaga,gonzaga
Kentucky,kentucky
Cincinnati,cincinnati
Louisville,louisville
Texas,texas
North Carolina State,north-carolina-state
Wake Forest,wake-forest
Pittsburgh,pittsburgh
Stanford,stanford
Kansas,kansas
Maryland,maryland
Illinois,illinois
Mississippi State,mississippi-state
Florida,florida
Vanderbilt,vanderbilt
Arizona,arizona
Nevada,nevada
Providence,providence
Texas Tech,texas-tech
Florida State,florida-state
Alabama,alabama
Seton Hall,seton-hall
Xavier,xavier
Memphis,memphis
Syracuse,syracuse
South Carolina,south-carolina
Brigham Young,brigham-young
Nebraska,nebraska
Western Michigan,western-michigan
Charlotte,charlotte
Michigan State,michigan-state
Boston College,boston-college
Michigan,michigan
Alabama-Birmingham,alabama-birmingham
Texas-El Paso,texas-el-paso
Utah,utah
Southern Illinois,southern-illinois
Notre Dame,notre-dame
Missouri,missouri
Oklahoma,oklahoma
Auburn,auburn
Richmond,richmond
Villanova,villanova
Purdue,purdue
Colorado,colorado
Washington,washington
Manhattan,manhattan
Iowa State,iowa-state
Air Force,air-force
Louisiana State,louisiana-state
Virginia,virginia
DePaul,depaul
George Washington,george-washington
Utah State,utah-state
Georgia,georgia
Wichita State,wichita-state
Boise State,boise-state
Kansas State,kansas-state
Iowa,iowa
Oregon,oregon
Rutgers,rutgers
Creighton,creighton
Saint Mary's (CA),saint-marys-ca
Kent State,kent-state
Saint Louis,saint-louis
Hawaii,hawaii
Rice,rice
Nevada-Las Vegas,nevada-las-vegas
Tennessee,tennessee
Murray State,murray-state
Rhode Island,rhode-island
Dayton,dayton
Northern Iowa,northern-iowa
Virginia Commonwealth,virginia-commonwealth
Arkansas,arkansas
Marquette,marquette
Milwaukee,milwaukee
University of California,california
Louisiana-Lafayette,louisiana-lafayette
West Virginia,west-virginia
Illinois-Chicago,illinois-chicago
Clemson,clemson
Pacific,pacific
Pennsylvania,pennsylvania
Fresno State,fresno-state
Detroit Mercy,detroit-mercy
Temple,temple
Wyoming,wyoming
Miami (FL),miami-fl
Indiana,indiana
East Carolina,east-carolina
Missouri State,missouri-state
San Diego State,san-diego-state
New Mexico,new-mexico
Northwestern,northwestern
Troy,troy
Georgetown,georgetown
East Tennessee State,east-tennessee-state
Mississippi,mississippi
George Mason,george-mason
Old Dominion,old-dominion
Minnesota,minnesota
Drexel,drexel
UCLA,ucla
Virginia Tech,virginia-tech
Niagara,niagara
Southern California,southern-california
Washington State,washington-state
Arizona State,arizona-state
Miami (OH),miami-oh
UC-Santa Barbara,california-santa-barbara
Buffalo,buffalo
Louisiana Tech,louisiana-tech
Toledo,toledo
Colorado State,colorado-state
Pepperdine,pepperdine
Central Florida,central-florida
Butler,butler
Belmont,belmont
Western Kentucky,western-kentucky
Princeton,princeton
Ohio State,ohio-state
Oregon State,oregon-state
North Carolina-Wilmington,north-carolina-wilmington
IUPUI,iupui
Austin Peay,austin-peay
Texas Christian,texas-christian
Tulsa,tulsa
Duquesne,duquesne
College of Charleston,college-of-charleston
Boston University,boston-university
Ball State,ball-state
Fairfield,fairfield
Eastern Washington,eastern-washington
Santa Clara,santa-clara
Southern Methodist,southern-methodist
Hofstra,hofstra
Missouri-Kansas City,missouri-kansas-city
Georgia State,georgia-state
Oral Roberts,oral-roberts
Drake,drake
Bradley,bradley
Valparaiso,valparaiso
Akron,akron
Illinois State,illinois-state
Delaware,delaware
Middle Tennessee,middle-tennessee
Idaho,idaho
Portland,portland
Arkansas-Little Rock,arkansas-little-rock
Oakland,oakland
St. John's (NY),st-johns-ny
Green Bay,green-bay
Georgia Southern,georgia-southern
Bowling Green State,bowling-green-state
Chattanooga,chattanooga
Texas A&M,texas-am
Arkansas State,arkansas-state
Southern Mississippi,southern-mississippi
Davidson,davidson
Holy Cross,holy-cross
Indiana State,indiana-state
Houston,houston
Weber State,weber-state
Cal State Northridge,cal-state-northridge
La Salle,la-salle
San Francisco,san-francisco
Stephen F. Austin,stephen-f-austin
Wright State,wright-state
Furman,furman
Loyola Marymount,loyola-marymount
Marshall,marshall
South Florida,south-florida
Massachusetts,massachusetts
New Orleans,new-orleans
Denver,denver
Centenary (LA),centenary-la
Saint Peter's,saint-peters
Baylor,baylor
Vermont,vermont
Penn State,penn-state
Liberty,liberty
Tulane,tulane
Ohio,ohio
Birmingham-Southern,birmingham-southern
UC-Irvine,california-irvine
New Mexico State,new-mexico-state
Cal Poly,cal-poly
UC-Riverside,california-riverside
Evansville,evansville
Eastern Michigan,eastern-michigan
Cal State Fullerton,cal-state-fullerton
Yale,yale
Loyola (IL),loyola-il
Sacramento State,sacramento-state
Bucknell,bucknell
Northern Illinois,northern-illinois
Northern Arizona,northern-arizona
San Jose State,san-jose-state
South Alabama,south-alabama
Mississippi Valley State,mississippi-valley-state
Montana State,montana-state
American,american
Northeastern,northeastern
Siena,siena
Monmouth,monmouth
Maine,maine
Southeastern Louisiana,southeastern-louisiana
Iona,iona
Lafayette,lafayette
Portland State,portland-state
Brown,brown
Southeast Missouri State,southeast-missouri-state
Rider,rider
Morehead State,morehead-state
Texas A&M-Corpus Christi,texas-am-corpus-christi
William & Mary,william-mary
Appalachian State,appalachian-state
Eastern Kentucky,eastern-kentucky
Chicago State,chicago-state
Montana,montana
Texas-Arlington,texas-arlington
Cornell,cornell
Canisius,canisius
North Texas,north-texas
Tennessee Tech,tennessee-tech
Winthrop,winthrop
Youngstown State,youngstown-state
Central Connecticut State,central-connecticut-state
South Carolina State,south-carolina-state
St. Bonaventure,st-bonaventure
Fairleigh Dickinson,fairleigh-dickinson
Coastal Carolina,coastal-carolina
Western Carolina,western-carolina
Florida Atlantic,florida-atlantic
St. Francis (NY),st-francis-ny
Texas-San Antonio,texas-san-antonio
Lehigh,lehigh
North Carolina-Greensboro,north-carolina-greensboro
McNeese State,mcneese-state
James Madison,james-madison
Coppin State,coppin-state
Fordham,fordham
Jacksonville State,jacksonville-state
Southern Utah,southern-utah
Delaware State,delaware-state
Mercer,mercer
Tennessee-Martin,tennessee-martin
Samford,samford
High Point,high-point
Texas-Rio Grande Valley,texas-pan-american
Binghamton,binghamton
Idaho State,idaho-state
Texas State,texas-state
Central Michigan,central-michigan
Elon,elon
Columbia,columbia
Florida A&M,florida-am
Northwestern State,northwestern-state
Towson,towson
Stetson,stetson
San Diego,san-diego
Maryland-Baltimore County,maryland-baltimore-county
Cleveland State,cleveland-state
Robert Morris,robert-morris
Hampton,hampton
Wagner,wagner
IPFW,ipfw
Saint Francis (PA),saint-francis-pa
Mount St. Mary's,mount-st-marys
Colgate,colgate
Long Beach State,long-beach-state
Radford,radford
Eastern Illinois,eastern-illinois
Alabama State,alabama-state
Lamar,lamar
Tennessee State,tennessee-state
Gardner-Webb,gardner-webb
New Hampshire,new-hampshire
Stony Brook,stony-brook
Louisiana-Monroe,louisiana-monroe
Sacred Heart,sacred-heart
Marist,marist
Jacksonville,jacksonville
Hartford,hartford
Wofford,wofford
Sam Houston State,sam-houston-state
Quinnipiac,quinnipiac
Southern,southern
Morgan State,morgan-state
Jackson State,jackson-state
Texas Southern,texas-southern
Western Illinois,western-illinois
Long Island University,long-island-university
North Carolina-Asheville,north-carolina-asheville
Norfolk State,norfolk-state
Lipscomb,lipscomb
Charleston Southern,charleston-southern
Florida International,florida-international
Albany (NY),albany-ny
