school_name,school_abbrev
North Carolina,north-carolina
Florida,florida
Kansas,kansas
Ohio State,ohio-state
Texas A&M,texas-am
UCLA,ucla
Memphis,memphis
Georgetown,georgetown
Wisconsin,wisconsin
Maryland,maryland
Duke,duke
Georgia Tech,georgia-tech
Kentucky,kentucky
Pittsburgh,pittsburgh
Notre Dame,notre-dame
Indiana,indiana
Michigan State,michigan-state
Arizona,arizona
Villanova,villanova
Louisville,louisville
Oregon,oregon
Texas,texas
Clemson,clemson
Mississippi State,mississippi-state
Air Force,air-force
Tennessee,tennessee
Purdue,purdue
West Virginia,west-virginia
Virginia Tech,virginia-tech
Butler,butler
Illinois,illinois
Xavier,xavier
Florida State,florida-state
Marquette,marquette
Syracuse,syracuse
Missouri State,missouri-state
Southern California,southern-california
Arkansas,arkansas
Boston College,boston-college
Southern Illinois,southern-illinois
Georgia,georgia
Washington State,washington-state
Connecticut,connecticut
Oklahoma,oklahoma
Nevada-Las Vegas,nevada-las-vegas
Virginia,virginia
Vanderbilt,vanderbilt
Louisiana State,louisiana-state
Creighton,creighton
DePaul,depaul
Gonzaga,gonzaga
Brigham Young,brigham-young
Stanford,stanford
Akron,akron
Bradley,bradley
Alabama,alabama
Missouri,missouri
Michigan,michigan
Nevada,nevada
Kansas State,kansas-state
Wichita State,wichita-state
Washington,washington
Mississippi,mississippi
Providence,providence
Texas Tech,texas-tech
Oklahoma State,oklahoma-state
Virginia Commonwealth,virginia-commonwealth
Massachusetts,massachusetts
Winthrop,winthrop
Iowa,iowa
University of California,california
North Carolina State,north-carolina-state
Davidson,davidson
Northern Iowa,northern-iowa
Old Dominion,old-dominion
San Diego State,san-diego-state
Hawaii,hawaii
Nebraska,nebraska
Auburn,auburn
Santa Clara,santa-clara
Wake Forest,wake-forest
Seton Hall,seton-hall
Houston,houston
Illinois State,illinois-state
George Washington,george-washington
Miami (FL),miami-fl
Drexel,drexel
Baylor,baylor
Kent State,kent-state
Evansville,evansville
Saint Joseph's,saint-josephs
New Mexico State,new-mexico-state
Northwestern,northwestern
Miami (OH),miami-oh
Central Florida,central-florida
Appalachian State,appalachian-state
Oral Roberts,oral-roberts
St. John's (NY),st-johns-ny
Fresno State,fresno-state
