school_name,school_abbrev
Kentucky,kentucky
Duke,duke
Wisconsin,wisconsin
Arizona,arizona
Villanova,villanova
Virginia,virginia
Gonzaga,gonzaga
Utah,utah
North Carolina,north-carolina
Ohio State,ohio-state
Notre Dame,notre-dame
Oklahoma,oklahoma
Kansas,kansas
Louisville,louisville
Iowa State,iowa-state
Baylor,baylor
Michigan State,michigan-state
Butler,butler
Texas,texas
Iowa,iowa
Wichita State,wichita-state
Georgetown,georgetown
Xavier,xavier
West Virginia,west-virginia
North Carolina State,north-carolina-state
Arkansas,arkansas
Providence,providence
Brigham Young,brigham-young
Maryland,maryland
Florida,florida
Oklahoma State,oklahoma-state
Indiana,indiana
Southern Methodist,southern-methodist
Purdue,purdue
Virginia Commonwealth,virginia-commonwealth
Northern Iowa,northern-iowa
Georgia,georgia
Illinois,illinois
Minnesota,minnesota
Stanford,stanford
UCLA,ucla
Miami (FL),miami-fl
Davidson,davidson
Syracuse,syracuse
Vanderbilt,vanderbilt
St. John's (NY),st-johns-ny
San Diego State,san-diego-state
Oregon,oregon
Louisiana State,louisiana-state
Mississippi,mississippi
Texas Christian,texas-christian
Dayton,dayton
Texas A&M,texas-am
Cincinnati,cincinnati
South Carolina,south-carolina
Alabama,alabama
Boise State,boise-state
Michigan,michigan
Arizona State,arizona-state
Rhode Island,rhode-island
Saint Mary's (CA),saint-marys-ca
Richmond,richmond
Stephen F. Austin,stephen-f-austin
Kansas State,kansas-state
Pittsburgh,pittsburgh
Connecticut,connecticut
Temple,temple
Colorado State,colorado-state
George Washington,george-washington
Illinois State,illinois-state
Seton Hall,seton-hall
Buffalo,buffalo
Penn State,penn-state
Clemson,clemson
Old Dominion,old-dominion
Creighton,creighton
Tennessee,tennessee
Georgia Tech,georgia-tech
Memphis,memphis
Murray State,murray-state
Marquette,marquette
Colorado,colorado
Florida State,florida-state
Tulsa,tulsa
Boston College,boston-college
Valparaiso,valparaiso
Northwestern,northwestern
Oregon State,oregon-state
Nebraska,nebraska
Louisiana Tech,louisiana-tech
Green Bay,green-bay
Washington,washington
Central Michigan,central-michigan
Georgia State,georgia-state
Nevada-Las Vegas,nevada-las-vegas
University of California,california
San Diego,san-diego
Texas-El Paso,texas-el-paso
Toledo,toledo
La Salle,la-salle
Wake Forest,wake-forest
Harvard,harvard
St. Bonaventure,st-bonaventure
Pepperdine,pepperdine
Wyoming,wyoming
Hofstra,hofstra
Texas Tech,texas-tech
Iona,iona
New Mexico State,new-mexico-state
Akron,akron
UC-Irvine,california-irvine
Massachusetts,massachusetts
Yale,yale
UC-Santa Barbara,california-santa-barbara
Evansville,evansville
South Dakota State,south-dakota-state
DePaul,depaul
Auburn,auburn
San Francisco,san-francisco
Cleveland State,cleveland-state
Portland,portland
Sam Houston State,sam-houston-state
Bowling Green State,bowling-green-state
Utah State,utah-state
William & Mary,william-mary
New Mexico,new-mexico
Hawaii,hawaii
Wofford,wofford
Mississippi State,mississippi-state
Loyola (IL),loyola-il
UC-Davis,california-davis
Southern California,southern-california
Kent State,kent-state
Northeastern,northeastern
Eastern Michigan,eastern-michigan
Alabama-Birmingham,alabama-birmingham
Charlotte,charlotte
Long Beach State,long-beach-state
Virginia Tech,virginia-tech
Vermont,vermont
Missouri,missouri
Western Kentucky,western-kentucky
Louisiana-Lafayette,louisiana-lafayette
Eastern Washington,eastern-washington
North Carolina Central,north-carolina-central
Belmont,belmont
Western Michigan,western-michigan
Rutgers,rutgers
Middle Tennessee,middle-tennessee
Washington State,washington-state
Eastern Kentucky,eastern-kentucky
Stony Brook,stony-brook
Canisius,canisius
Saint Joseph's,saint-josephs
Albany (NY),albany-ny
Columbia,columbia
Santa Clara,santa-clara
Georgia Southern,georgia-southern
Indiana State,indiana-state
Cal Poly,cal-poly
Morehead State,morehead-state
North Florida,north-florida
Coastal Carolina,coastal-carolina
Oakland,oakland
Manhattan,manhattan
Princeton,princeton
George Mason,george-mason
Quinnipiac,quinnipiac
Tulane,tulane
Rider,rider
Chattanooga,chattanooga
North Dakota State,north-dakota-state
Montana,montana
Northern Illinois,northern-illinois
Florida Gulf Coast,florida-gulf-coast
Air Force,air-force
Louisiana-Monroe,louisiana-monroe
Mercer,mercer
Houston,houston
Tennessee-Martin,tennessee-martin
St. Francis (NY),st-francis-ny
Fordham,fordham
Monmouth,monmouth
Fresno State,fresno-state
Detroit Mercy,detroit-mercy
South Carolina Upstate,south-carolina-upstate
High Point,high-point
North Carolina-Wilmington,north-carolina-wilmington
James Madison,james-madison
East Carolina,east-carolina
Rice,rice
Colgate,colgate
Duquesne,duquesne
Saint Peter's,saint-peters
Lehigh,lehigh
Robert Morris,robert-morris
Dartmouth,dartmouth
IPFW,ipfw
Pacific,pacific
NJIT,njit
Texas-San Antonio,texas-san-antonio
Lafayette,lafayette
Northern Arizona,northern-arizona
Southern Illinois,southern-illinois
American,american
Cornell,cornell
