school_name,school_abbrev
Kentucky,kentucky
Ohio State,ohio-state
Kansas,kansas
North Carolina,north-carolina
Michigan State,michigan-state
Syracuse,syracuse
Missouri,missouri
Wisconsin,wisconsin
Indiana,indiana
Florida,florida
Wichita State,wichita-state
Duke,duke
Marquette,marquette
Memphis,memphis
Georgetown,georgetown
Baylor,baylor
Louisville,louisville
Vanderbilt,vanderbilt
New Mexico,new-mexico
Saint Louis,saint-louis
Florida State,florida-state
Kansas State,kansas-state
Texas,texas
Purdue,purdue
Gonzaga,gonzaga
University of California,california
Alabama,alabama
Nevada-Las Vegas,nevada-las-vegas
Iowa State,iowa-state
Michigan,michigan
Cincinnati,cincinnati
Creighton,creighton
Stanford,stanford
Virginia,virginia
Connecticut,connecticut
West Virginia,west-virginia
North Carolina State,north-carolina-state
Belmont,belmont
Saint Mary's (CA),saint-marys-ca
Brigham Young,brigham-young
Notre Dame,notre-dame
Arizona,arizona
Washington,washington
Miami (FL),miami-fl
Minnesota,minnesota
UCLA,ucla
Temple,temple
Seton Hall,seton-hall
Oregon,oregon
Xavier,xavier
Long Beach State,long-beach-state
Tennessee,tennessee
Pittsburgh,pittsburgh
Illinois,illinois
South Florida,south-florida
Mississippi State,mississippi-state
San Diego State,san-diego-state
Virginia Tech,virginia-tech
Northwestern,northwestern
Oregon State,oregon-state
Virginia Commonwealth,virginia-commonwealth
Murray State,murray-state
New Mexico State,new-mexico-state
Middle Tennessee,middle-tennessee
La Salle,la-salle
Dayton,dayton
Iona,iona
Saint Joseph's,saint-josephs
St. Bonaventure,st-bonaventure
Colorado,colorado
Villanova,villanova
Harvard,harvard
Southern Mississippi,southern-mississippi
Massachusetts,massachusetts
Drexel,drexel
South Dakota State,south-dakota-state
Clemson,clemson
Oklahoma,oklahoma
Davidson,davidson
Ohio,ohio
Iowa,iowa
Oklahoma State,oklahoma-state
Marshall,marshall
Northern Iowa,northern-iowa
Wyoming,wyoming
Louisiana State,louisiana-state
Colorado State,colorado-state
Mississippi,mississippi
Akron,akron
Illinois State,illinois-state
Washington State,washington-state
Missouri State,missouri-state
Denver,denver
Georgia,georgia
Tulsa,tulsa
Arkansas,arkansas
Georgia State,georgia-state
Texas A&M,texas-am
Rutgers,rutgers
Cleveland State,cleveland-state
Oral Roberts,oral-roberts
Richmond,richmond
Montana,montana
Nevada,nevada
Central Florida,central-florida
Lehigh,lehigh
Providence,providence
Buffalo,buffalo
Duquesne,duquesne
Old Dominion,old-dominion
UC-Santa Barbara,california-santa-barbara
Maryland,maryland
George Mason,george-mason
Mercer,mercer
Penn State,penn-state
Wagner,wagner
Bucknell,bucknell
Boise State,boise-state
Nebraska,nebraska
Utah State,utah-state
Evansville,evansville
Texas-Arlington,texas-arlington
North Carolina-Asheville,north-carolina-asheville
Fairfield,fairfield
Texas-El Paso,texas-el-paso
Butler,butler
Kent State,kent-state
South Carolina,south-carolina
St. John's (NY),st-johns-ny
Alabama-Birmingham,alabama-birmingham
Princeton,princeton
Auburn,auburn
Drake,drake
