school_name,school_abbrev
Indiana,indiana
Louisville,louisville
Florida,florida
Duke,duke
Michigan,michigan
Kansas,kansas
Gonzaga,gonzaga
Syracuse,syracuse
Ohio State,ohio-state
Pittsburgh,pittsburgh
Wisconsin,wisconsin
Michigan State,michigan-state
Arizona,arizona
Miami (FL),miami-fl
Virginia Commonwealth,virginia-commonwealth
Minnesota,minnesota
Creighton,creighton
Georgetown,georgetown
Oklahoma State,oklahoma-state
Missouri,missouri
Baylor,baylor
Wichita State,wichita-state
North Carolina,north-carolina
Saint Mary's (CA),saint-marys-ca
Iowa State,iowa-state
Cincinnati,cincinnati
Mississippi,mississippi
Saint Louis,saint-louis
North Carolina State,north-carolina-state
Iowa,iowa
Marquette,marquette
Kentucky,kentucky
Oregon,oregon
Notre Dame,notre-dame
Colorado State,colorado-state
Kansas State,kansas-state
New Mexico,new-mexico
Illinois,illinois
San Diego State,san-diego-state
Nevada-Las Vegas,nevada-las-vegas
Virginia,virginia
UCLA,ucla
Memphis,memphis
Colorado,colorado
Connecticut,connecticut
Oklahoma,oklahoma
Stanford,stanford
Maryland,maryland
Middle Tennessee,middle-tennessee
Butler,butler
Villanova,villanova
Brigham Young,brigham-young
University of California,california
Belmont,belmont
La Salle,la-salle
Arkansas,arkansas
Alabama,alabama
Illinois State,illinois-state
Temple,temple
Boise State,boise-state
Dayton,dayton
Providence,providence
Denver,denver
Purdue,purdue
Tennessee,tennessee
Southern Mississippi,southern-mississippi
Arizona State,arizona-state
Northern Iowa,northern-iowa
Akron,akron
Washington,washington
Xavier,xavier
Saint Joseph's,saint-josephs
Davidson,davidson
Valparaiso,valparaiso
Bucknell,bucknell
Ohio,ohio
Richmond,richmond
Texas,texas
Detroit Mercy,detroit-mercy
Washington State,washington-state
Georgia Tech,georgia-tech
Santa Clara,santa-clara
Texas A&M,texas-am
Southern California,southern-california
Vanderbilt,vanderbilt
Boston College,boston-college
Oregon State,oregon-state
Rutgers,rutgers
Weber State,weber-state
Clemson,clemson
Louisiana State,louisiana-state
Massachusetts,massachusetts
St. John's (NY),st-johns-ny
Florida State,florida-state
Stony Brook,stony-brook
Seton Hall,seton-hall
Louisiana Tech,louisiana-tech
Wyoming,wyoming
Northwestern,northwestern
Georgia,georgia
Evansville,evansville
North Dakota State,north-dakota-state
New Mexico State,new-mexico-state
Indiana State,indiana-state
Utah,utah
Texas-El Paso,texas-el-paso
West Virginia,west-virginia
Nebraska,nebraska
South Florida,south-florida
Stephen F. Austin,stephen-f-austin
George Washington,george-washington
Air Force,air-force
Iona,iona
Harvard,harvard
Lehigh,lehigh
Utah State,utah-state
Central Florida,central-florida
St. Bonaventure,st-bonaventure
Drake,drake
Wake Forest,wake-forest
Fresno State,fresno-state
Princeton,princeton
Penn State,penn-state
Florida Gulf Coast,florida-gulf-coast
Charlotte,charlotte
East Carolina,east-carolina
San Francisco,san-francisco
Kent State,kent-state
Canisius,canisius
South Dakota State,south-dakota-state
Wright State,wright-state
George Mason,george-mason
Pacific,pacific
Tulane,tulane
Virginia Tech,virginia-tech
DePaul,depaul
Green Bay,green-bay
Eastern Kentucky,eastern-kentucky
Loyola (MD),loyola-md
Bradley,bradley
Murray State,murray-state
Arkansas State,arkansas-state
Mercer,mercer
Niagara,niagara
Texas-Arlington,texas-arlington
Nevada,nevada
Western Michigan,western-michigan
Northwestern State,northwestern-state
Alabama-Birmingham,alabama-birmingham
Robert Morris,robert-morris
Auburn,auburn
College of Charleston,college-of-charleston
UC-Irvine,california-irvine
Vermont,vermont
Oral Roberts,oral-roberts
Houston,houston
Cal Poly,cal-poly
Fairfield,fairfield
San Diego,san-diego
Southern Methodist,southern-methodist
Boston University,boston-university
Rhode Island,rhode-island
Western Kentucky,western-kentucky
South Carolina,south-carolina
Delaware,delaware
Southern Illinois,southern-illinois
Albany (NY),albany-ny
Loyola (IL),loyola-il
Tulsa,tulsa
Drexel,drexel
Montana,montana
Long Beach State,long-beach-state
Rider,rider
Northeastern,northeastern
Army,army
Hawaii,hawaii
James Madison,james-madison
Illinois-Chicago,illinois-chicago
Western Illinois,western-illinois
Towson,towson
