number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
2	184	DJ Clayton	Oakland, CA	G	78	dj-clayton-1	6.5 Pts, 4.1 Reb, 1.8 Ast	Elev8 Sports Academy	JR
3	170	Keyshawn Evans	Fort Lauderdale, FL	G	72	keyshawn-evans-1	3.9 Pts, 1.4 Reb, 1.8 Ast		SO
10	200	Phil Fayne	Elk Grove, CA	F	81	phil-fayne-1	9.8 Pts, 6.1 Reb, 0.1 Ast		SO
0	180	Isaac Gassman	Ottawa, IL	G	77	isaac-gassman-1			FR
23	219	Deontae Hawkins	Dayton, OH	F	80	deontae-hawkins-1	14.8 Pts, 6.6 Reb, 1.1 Ast	Dayton Dunbar	SR
5	185	Matt Hein	Windermere, FL	G	75	matt-hein-1	0.4 Pts, 0.3 Reb, 0.0 Ast		FR
1	183	Paris Lee	Maywood, IL	G	71	paris-lee-1	13.4 Pts, 4.1 Reb, 5.3 Ast	Proviso East HS	SR
11	234	MiKyle McIntosh	Ontario, Canada	F	79	mikyle-mcintosh-1	14.7 Pts, 6.7 Reb, 2.1 Ast	Pickering	JR
4	210	Daouda Ndiaye	Dakar, Senegal	C	83	daouda-ndiaye-1	1.7 Pts, 3.1 Reb, 0.1 Ast		SO
34	220	Christian Romine	Mahomet, IL	F	81	christian-romine-1		Mahomet-Seymour HS	SO
31	191	Javaka Thompson	Chicago, IL	G	76	javaka-thompson-1	1.1 Pts, 0.5 Reb, 0.0 Ast		SR
15	195	Andre Washington	Fort Worth, TX	F	80	andre-washington-12	1.0 Pts, 0.8 Reb, 0.1 Ast		FR
25	170	Madison Williams	Augusta, GA	G	75	madison-williams-1	1.8 Pts, 1.0 Reb, 0.8 Ast		FR
12	179	Tony Wills	Indianapolis, IN	G	75	tony-willis-1	6.1 Pts, 2.8 Reb, 1.5 Ast	Ben Davis HS	SR
13	230	Milik Yarbrough	Zion, IL	F	78	milik-yarbrough-1		Zion-Benton Township HS	JR
