number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
14	221	Kale Abrahamson	West Des Moines, IA	F	80	kale-abrahamson-1	5.0 Pts, 2.7 Reb, 0.7 Ast	Valley	SR
5	195	Emile Blackman	Dix Hills, NY	G	76	emile-blackman-1	11.7 Pts, 3.7 Reb, 1.3 Ast	LIU Post	SR
4	195	Rene Castro	Boston, MA	G	74	rene-castro-1	8.5 Pts, 1.8 Reb, 2.2 Ast	Worcester Academy	JR
53	170	Caleb Davis	New Kensington, PA	G	72	caleb-davis-1			FR
21	175	David Haus	Pittsburgh, PA	G	74	david-haus-1	0.0 Pts, 0.0 Reb, 0.0 Ast	North Allegheny HS	JR
2	205	Eric James	Westerville, OH	F	77	eric-james-2	2.6 Pts, 2.1 Reb, 0.5 Ast	Westerville Central HS	JR
1	175	Mike Lewis II	St. Louis, MO	G	73	mike-lewisii-1	12.7 Pts, 2.2 Reb, 1.4 Ast		FR
0	255	Darius Lewis	Lexington, KY	C	83	darius-lewis-1	4.3 Pts, 5.6 Reb, 0.9 Ast	IMG Academy	SR
25	195	Spencer Littleson	Rochester Hills, MI	G	76	spencer-littleson-1	2.2 Pts, 1.6 Reb, 1.0 Ast		FR
45	200	Isiaha Mike	Ontario, Canada	F	80	isiaha-mike-1	10.2 Pts, 5.4 Reb, 1.6 Ast		FR
55	250	Jordan Robinson	Ontario, Canada	C	80	jordan-robinson-1	2.2 Pts, 2.2 Reb, 0.1 Ast	Quality Education Academy	JR
20	225	Nakye Sanders	Staten Island, NY	F	80	nayke-sanders-1	5.8 Pts, 6.4 Reb, 1.0 Ast	Tottenville HS	SO
3	175	Tarin Smith	Ocean Township, NJ	G	74	tarin-smith-1	9.9 Pts, 3.4 Reb, 3.1 Ast	St. Anthony	SO
32	190	Zach Snyder	Cranberry Township, PA	F	77	zach-snyder-1		Seneca Valley HS	SO
	200	Josh Steel	Harlow, United Kingdom	G	76	josh-steel-1	9.5 Pts, 2.0 Reb, 0.5 Ast		SO
35	220	Kellon Taylor	Landover, MD	F	77	kellon-taylor-1	1.3 Pts, 0.3 Reb, 0.0 Ast		FR
