number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
12	257	Ioannis Dimakopoulos	Patra, Greece	C	86	ioannis-dimakopoulos-1	10.9 Pts, 4.2 Reb, 1.2 Ast	Cathedral HS	SR
11	217	John Edgar Jr.	Chino Hills, CA	F	77	john-edgarjr-1	3.1 Pts, 1.8 Reb, 0.4 Ast		FR
5	215	Jonathan Galloway	Brentwood, CA	F	82	jonathan-galloway-1	4.0 Pts, 6.4 Reb, 0.4 Ast	Salesian HS	SO
55	320	Brad Greene	Lone Pine, CA	C	82	brad-greene-1	3.5 Pts, 3.5 Reb, 0.2 Ast		FR
2	165	Max Hazzard	Los Angeles, CA	G	70	max-hazzard-1	5.2 Pts, 2.1 Reb, 1.8 Ast	Loyola HS	FR
50	275	Elston Jones		F	81	elston-jones-1		Millennium	
14	190	Evan Leonard	Cerritos, CA	G	73	evan-leonard-1	4.4 Pts, 1.8 Reb, 0.8 Ast		FR
32	240	Adam Liberman	Valley Village, CA	C	82	adam-liberman-1			FR
	160	Jaron Martin	Sunland, CA	G	70	jaron-martin-1	14.0 Pts, 3.3 Reb, 3.2 Ast	Chaminade College Prep HS	SR
	185	Luke Nelson	Worthing, United Kingdom	G	75	luke-nelson-1	13.7 Pts, 2.0 Reb, 2.0 Ast	The Henley College	SR
25	190	Spencer Rivers	Winter Park, FL	G	74	spencer-rivers-1	2.8 Pts, 0.9 Reb, 1.1 Ast	Winter Park HS	SO
42	220	Tommy Rutherford	El Cajon, CA	F	80	tommy-rutherford-1	6.6 Pts, 5.2 Reb, 0.5 Ast		FR
13	185	Brandon Smith	Santa Ana, CA	F	77	brandon-smith-9	3.3 Pts, 3.1 Reb, 1.0 Ast	Godinez HS	SO
23	210	Darrian Traylor	Las Vegas, NV	G	76	darrian-traylor-1	1.6 Pts, 1.0 Reb, 0.5 Ast	Centennial HS	FR
4	203	Justin Wertner	Collierville, TN	G	76	justin-wertner-1			FR
24	170	Eyassu Worku	Los Alamitos, CA	G	74	eyassu-worku-1	8.1 Pts, 3.4 Reb, 2.0 Ast		FR
