number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
13	156	Brandon Allen	East Lansing, MI	G	70	brandon-allen-5			FR
3	175	Josh Davis	Detroit, MI	G	77	josh-davis-7	3.8 Pts, 1.6 Reb, 0.8 Ast		SO
50	240	Seth Dugan	Otsego, MI	C	85	seth-dugan-1	4.9 Pts, 5.1 Reb, 0.6 Ast	Otsego High School (MI)	SO
1	220	Tucker Haymond	Seattle, WA	G	78	tucker-haymond-1	12.9 Pts, 4.6 Reb, 3.2 Ast	Garfield HS	SR
24	185	Adida Ikongshul	Madison, IN	F	78	adida-ikongshul-1	0.4 Pts, 2.4 Reb, 0.1 Ast		FR
35	203	Brandon Johnson	Chicago, IL	F	80	brandon-johnson-56	8.2 Pts, 5.9 Reb, 0.6 Ast		FR
23	203	Reggie Jones	Marion, IN	G	78	reggie-jones-2	7.5 Pts, 3.1 Reb, 1.6 Ast		FR
2	195	Joeviair Kennedy	Muskegon, MI	G	76	joeviair-kennedy-1	3.4 Pts, 0.9 Reb, 0.3 Ast		FR
42	240	Drake LaMont	Plantation, FL	C	82	drake-lamont-1	8.1 Pts, 4.6 Reb, 0.3 Ast	American Heritage	JR
	190	Bryce Moore	Indianapolis, IN	G	74	bryce-moore-1	5.9 Pts, 0.9 Reb, 1.0 Ast		SO
	225	Maxwell Omili		C	80	maxwell-omili-1	0.4 Pts, 0.2 Reb, 0.0 Ast		FR
4	172	Jared Printy	Cedar Rapids, IA	G	76	jared-printy-1	2.4 Pts, 0.9 Reb, 0.6 Ast		FR
12	149	Jarrin Randall	Chicago, IL	G	71	jarrin-randall-1	2.1 Pts, 0.3 Reb, 0.9 Ast		FR
11	175	Ryan Wade	Laingsburg, MI	G	69	ryan-wade-1			FR
10	185	Thomas Wilder	Montgomery, IL	G	75	thomas-wilder-1	16.3 Pts, 4.2 Reb, 3.0 Ast	Quakerdale Prep (IA)	JR
