number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
40	200	Brandon Allen	Milton, FL	F	78	brandon-allen-4	4.5 Pts, 0.7 Reb, 0.5 Ast	Milton HS	JR
11	195	Braian Angola-Rodas	Villanueva, Colombia	G	78	braian-angola-rodas-1	4.6 Pts, 1.9 Reb, 1.6 Ast		JR
4	210	Dwayne Bacon	Lakeland, FL	G	79	dwayne-bacon-1	18.1 Pts, 3.9 Reb, 1.6 Ast		SO
	205	Phil Cofer	Atlanta, GA	F	80	phil-cofer-1	3.5 Pts, 2.2 Reb, 0.2 Ast	Whitewater HS	JR
3	215	Trent Forrest	Chipley, FL	G	77	trent-forrest-1	6.4 Pts, 3.4 Reb, 2.3 Ast		FR
1	210	Jonathan Isaac	Naples, FL	F	82	jonathan-isaac-1	12.2 Pts, 7.4 Reb, 0.9 Ast		FR
25	235	Mfiondu Kabengele	Ontario, Canada	F	81	mfiondu-kabengele-1			FR
21	233	Chris Koumadje	N'djamena, Chad	C	88	jeanmarc-koumadje-1	4.1 Pts, 2.2 Reb, 0.3 Ast		SO
20	165	Travis Light	Vienna, VA	G	77	travis-light-1			FR
14	200	Terance Mann	Lowell, MA	G	78	terance-mann-1	9.2 Pts, 4.8 Reb, 1.9 Ast	Tilton School (NH)	SO
33	220	Will Miles	Orlando, FL	F	78	will-miles-1			FR
50	292	Michael Ojo	Lagos, Nigeria	C	85	michael-ojo-2	5.0 Pts, 4.4 Reb, 0.1 Ast	Tennessee Temple HS	SR
22	190	Xavier Rathan-Mayes	Ontario, Canada	G	76	xavier-rathan-mayes-1	10.4 Pts, 3.5 Reb, 4.7 Ast	Huntington Prep (WV)	JR
5	200	PJ Savoy	Las Vegas, NV	G	76	pj-savoy-1	7.9 Pts, 0.4 Reb, 0.6 Ast		SO
23	225	Jarquez Smith	Haddock, GA	F	81	jarquez-smith-1	4.0 Pts, 2.4 Reb, 0.4 Ast	Jones County HS	SR
2	195	CJ Walker	Indianapolis, IN	G	73	cj-walker-2	6.8 Pts, 1.6 Reb, 1.4 Ast		FR
