number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
3	260	Edrice Adebayo	Washington, NC	F	82	edrice-adebayo-1	13.1 Pts, 7.3 Reb, 0.9 Ast		FR
13	202	Isaiah Briscoe	Newark, NJ	G	75	isaiah-briscoe-1	15.2 Pts, 4.2 Reb, 4.2 Ast	Roselle Catholic HS	SO
20	178	Brad Calipari	Franklin Lakes, NJ	G	72	brad-calipari-1	0.7 Pts, 0.3 Reb, 0.1 Ast		FR
10	175	Jonny David	Pittsburgh, PA	G	74	jonny-david-1	0.7 Pts, 0.0 Reb, 0.0 Ast	Mt. Lebanon HS	SO
	187	De'Aaron Fox	Houston, TX	G	75	deaaron-fox-1	16.3 Pts, 5.1 Reb, 6.7 Ast		FR
32	213	Wenyen Gabriel	Manchester, NH	F	81	wenyen-gabriel-1	5.5 Pts, 5.5 Reb, 1.1 Ast		FR
25	195	Dominique Hawkins	Richmond, KY	G	72	dominique-hawkins-1	3.0 Pts, 1.6 Reb, 2.3 Ast	Madison Central HS	SR
	260	Isaac Humphries	Sydney, Australia	F	84	isaac-humphries-1	3.8 Pts, 4.1 Reb, 0.5 Ast	La Lumiere School (IN)	SO
1	230	Sacha Killeya-Jones	Chapel Hill, NC	F	82	sacha-killeya-jones-1	3.3 Pts, 2.6 Reb, 0.2 Ast		FR
5	200	Malik Monk	Lepanto, AR	G	75	malik-monk-1	21.9 Pts, 2.5 Reb, 2.1 Ast		FR
11	185	Mychal Mulder	Ontario, Canada	G	76	mychal-mulder-1	6.9 Pts, 2.0 Reb, 0.3 Ast	Catholic Central (Ont.)	SR
30	180	Dillon Pulliam	Cynthiana, KY	G	75	dillon-pulliam-1	0.0 Pts, 0.2 Reb, 0.2 Ast		SO
35	216	Derek Willis	Mount Washington, KY	F	81	derek-willis-1	7.3 Pts, 4.5 Reb, 0.9 Ast	Bullitt East HS	SR
14	254	Tai Wynyard	Auckland, New Zealand	F	82	tai-wynyard-1	0.8 Pts, 0.9 Reb, 0.1 Ast		FR
